durofel,color,max_brix,Variety
67.75,3.121,27.4,3
74.26,2.945,21.1,12
76.6,2.737,18.8,3
71.22,3.083,29,3
78.91,3.068,28,3
73.98,2.823,26,13
74.78,2.048,25,5
71.08,3.001,26,3
73.56,2.822,18.5,3
75.03,2.898,26,5
76.11,2.99,25,13
77.2,3.052,23.6,3
71.57,3.003,20.6,3
71.1,3.301,20.2,3
77.34,3.158,20.2,3
72.3,2.928,20.8,3
76.32,2.975,26,3
74.41,2.339,28,13
71.84,3.013,23.7,3
71.42,3.086,17.9,3
74.78,2.965,19.9,5
77.02,2.966,17.8,3
75.8,1.394,22.8,5
75.77,3.004,21.8,12
74.58,2.695,24,11
76.99,3.011,19,3
70.84,3.664,25.5,3
74.2,2.95,21.4,13
77.93,2.876,19.5,3
73.67,2.947,21,5
72.37,3.446,21.7,8
69.18,2.255,21.7,3
75.24,3.042,21.9,3
70.12,3.055,21.8,1
68.1,2.66,23,3
66.94,3.097,22.5,3
73.73,2.911,26.6,13
72.72,2.453,26,13
67.99,3.047,26,3
75.69,3.103,24.2,3
74.12,2.196,23.5,14
73.11,2.5,18.1,5
74.34,3.02,23.7,11
72.1,2.784,23.7,3
73.31,2.949,18,3
78,2.99,18.6,13
72.02,3.198,20.8,13
68.31,3.438,22,3
72.44,3.017,21.5,3
72.08,2.599,19.5,5
72.3,3.13,17.5,3
71.53,2.869,23.8,5
75.21,2.587,21.8,5
75.27,2.954,22.7,13
73.74,2.741,24.9,12
71.07,2.899,17.4,5
74.82,2.868,19,3
71.84,3.068,22.4,3
74.45,2.956,17.8,3
74.64,3.3,24,3
77.9,2.992,22,3
77.94,1.758,21.8,11
72.93,2.835,22.2,3
78.46,2.959,19.8,3
77.37,2.934,18.9,14
78.42,2.89,19.2,12
71.31,2.906,21.7,5
72.73,2.991,22.1,3
77.41,2.988,22.4,3
77.51,2.926,22.7,13
76.11,2.976,20.5,3
74.61,2.972,20.4,3
74.57,3.005,20.1,3
77.17,2.965,24,3
75.97,1.824,22,5
76.18,2.85,24,3
78.91,2.88,21.5,13
77.44,3.082,27.4,13
75.97,3.012,18.3,3
76.46,2.929,26.9,3
72.54,2.084,28.5,3
71.08,2.144,26.9,3
69.01,2.732,27.5,8
73.56,2.156,27.5,3
74.4,2.874,28,12
76.78,4.829,27.8,3
71.85,2.864,27.8,5
77.31,2.878,27.8,13
78.7,3.318,28,3
67.66,2.68,28,3
72.68,2.644,28,11
75.03,2.775,21.1,13
70.7,2.126,28.1,3
76.11,2.88,28,3
71.39,2.912,28,3
70.44,2.892,26,13
73.1,3.448,28,3
73.21,3.356,21.8,11
71.91,2.579,28,3
76.74,2.897,22.3,3
71.66,2.888,28,3
75,3.111,22.6,3
77.51,2.97,21.9,3
46.14,3,21.9,3
73.49,2.942,21.9,5
75.63,3.03,22.4,13
73.53,2.901,23.3,13
79.43,2.204,25,3
76.29,3.184,22,3
73.18,2.894,25.6,13
73.59,3.059,22.8,3
74.08,3.187,26,3
72.9,2.885,26,5
79.4,3.044,23.6,2
75.77,3.017,19.9,3
72.72,2.827,18.8,5
73.63,2.144,20.8,5
72.47,2.064,21.6,11
72.5,2.345,19,3
75.91,2.129,22,3
74.72,2.096,21.9,3
73.91,1.784,24,5
76.78,2.808,21.3,11
71.33,2.265,23.6,3
70.89,2.98,29.5,14
75.69,2.908,23.8,5
78.52,2.402,24,3
71.59,2.877,24,13
68.97,3.596,24.3,11
72.09,2.955,23.9,8
71.31,2.306,20,3
73.99,2.12,25.7,2
69.67,3.034,22,14
72.51,2.099,20,3
70.91,2.608,20,13
72.05,3.125,20,3
76.01,1.136,20,13
68.83,2.818,22.2,3
71.45,2.285,20,3
74.86,2.93,20,5
70.01,2.9,20,14
75.14,2.222,22,3
77.17,2.54,22.7,3
75.16,2.888,21.7,3
70.48,2.638,22.7,13
73.63,2.164,22,5
72.51,2.88,22,5
72.48,2.332,21.2,11
74.78,4.541,22.8,3
76.74,2.66,20,5
75.98,3.47,22.3,5
75.98,2.02,20,5
74.92,2.9,20.5,3
76.96,2.06,24.3,13
74.68,1.192,23,13
76.82,2.75,20.4,3
77.2,2.144,24.7,13
76.26,3.588,21.4,11
72.76,3.684,21.3,5
75.1,3.027,16,3
73.87,2.93,16,3
76.11,2.66,21,3
74.15,3.354,22.1,11
73.81,2.69,20.5,5
74.37,2.954,20.6,14
75.66,2.492,21.1,5
75.69,3.61,20.4,3
73.92,2.894,18.3,5
74.58,2.126,17.7,3
74.78,2.087,19.6,3
74.68,2.884,17.4,5
66.24,2.189,18,3
76.25,2.95,17.4,5
73.01,2.942,16,5
69.16,2.958,20.6,8
71.91,2.411,21.9,5
74.82,2.063,18.6,3
73.25,2.95,20,13
75.67,3.011,20.1,3
77.51,2.644,17,11
73.67,2.117,21.2,3
75.74,2.408,20.5,3
74.86,2.195,24.1,13
74.82,2.27,21.3,3
71.12,2.986,21.7,13
70.76,2.89,18.8,5
69.42,2.974,19.9,14
73.32,3.536,20,11
72.65,2.966,19.9,5
73.81,2.924,19.7,13
70.68,2.994,16,14
71.43,2.27,19.5,5
72.3,2.944,17.3,5
77.1,2.87,18.5,5
75.13,2.987,17.5,9
79.48,2.952,22.3,13
73.51,2.964,20,5
77.02,3.068,17,3
77.86,2.936,20.8,3
74.89,2.96,20,3
72.52,2.788,19,5
74.82,2.773,18,13
75.35,2.195,18.1,5
79.72,2.781,21.7,5
76.92,2.926,19.6,5
76.54,2.979,24.6,13
78.11,2.868,19,5
76.96,2.887,18.4,14
75.55,2.492,18,3
76.21,2.906,19.7,5
74.78,2.258,23.9,13
74.3,2.788,22.8,5
79.4,2.87,17.2,5
73.1,2.156,18.8,3
