durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
57,25,4,14,9.6,0,84.9,0,5.5,15.4,0,20.3,0,30,23.6,1
32,11,29,29,5.8,0,70.7,0,23.5,16.1,0,17.7,0,30,22.1,3
4,14,39,43,8.2,0,89.6,0,2.2,18.7,0,19.3,0,30,24.6,1
7,0,71,21,14.6,0,85.4,0,15.2,0,19.9,0,27,24.7,0,3
11,18,43,29,6.7,0,87.4,0,5.9,12.9,0,22.2,0,30,22.1,3
25,18,14,43,4.2,0,89,0,6.8,17.2,0,21.5,0,30,24.8,1
32,11,46,11,11.2,0,88.2,0,0,17.3,0,10,7,0,0,3
29,14,39,18,14.6,0,84.2,0,1.2,17.3,0,20.9,0,26,24.2,3
11,11,64,14,16.4,0,83.6,0,15.9,0,17.7,0,26,23.2,0,3
11,14,46,29,21,0,70.4,0,8.6,14.1,0,16.8,0,26.5,24,4
46,14,21,18,14,0,86,0,14.8,0,17.2,0,27,24,0.9,1
36,29,25,11,30,0,70,0,17.3,0,24.6,0,24,24.6,0,4
0,4,89,7,9.6,0,90.4,0,16.2,0,19.6,0,14,16.2,0,3
10,3,66,21,6.7,0,93.3,0,14.6,0,17.6,0,22,17.8,0,3
0,4,82,14,9.7,0,80.9,0,9.4,17.2,0,19.7,0,19.1,17.2,3
21,18,39,21,1.8,0,84.5,0,13.7,16.2,0,17.5,0,22,16.2,1
29,21,32,18,6.1,0,92.8,0,1.1,16.9,0,19.8,0,23,18,3
7,7,64,21,7.4,0,91.7,0.2,0.7,16.6,0,20.6,0,24,16.4,1
0,11,75,14,3.6,0,86.4,0,10,0,17.6,0,25,18.8,0,3
7,21,39,32,8.4,0,89.7,0,1.9,16.2,0,19.4,0,24,18.2,1
18,21,21,39,4.8,0,88.6,0.4,6.2,14,0,19.3,0,25,22,3
25,14,32,29,1.9,0,96.1,0,2,0,18.7,0,24.9,20.9,1.5,3
7,4,68,21,10.8,0,86.2,0,0,0,21.8,0,28,24,1.7,1
7,36,14,43,4,0,89.7,0,6.3,0,20.5,0,22,20,0,1
11,21,50,18,8.2,0,90.7,0,1.1,0,17.7,0,26,23.7,0,3
4,21,71,4,18.4,0,81.6,0,14.8,0,18.9,0,26,21,0,3
7,0,57,36,35.7,0,62.7,0,1.6,16.4,0,19.2,0,25,20.2,3
32,29,21,18,10.9,0,89.1,0,15.2,0,18.2,0,25,24,0,1
29,21,25,25,12,0,88,0,16.4,0,20,0,25,22,0.1,3
11,29,36,25,3.9,0,96.1,0,16.4,0,17.4,0,19.5,15.8,0.4,3
57,25,4,14,6.2,0,89,0,4.8,0,18.1,0,19,14.2,0,3
36,7,43,14,1.2,0,94.5,0,4.3,0,19.1,0,22,14.7,0,1
25,18,25,32,4.3,0,91,0,4.7,0,20.6,0,23.4,14.8,0,1
18,29,21,32,0,93.8,0,6.2,17.9,0,21.8,0,25.5,20.5,0,1
11,25,39,25,11.7,0,88.3,0,16.2,0,19.7,0,23,21,0.3,3
25,7,46,21,14.9,0,75.7,0,9.4,13.2,0,17.2,0,24,19.5,3
36,11,21,32,6.2,0,88.3,0.3,5.2,0,0,23,19.2,0,0,1
7,14,43,36,6.6,0,82.9,0,10.5,16.4,0,26.6,0,24,20,1
4,7,43,46,12.1,0,85.2,0,2.7,17.4,0,18.9,0,25,22,3
18,25,32,25,15.1,0,84.9,0,16.6,0,18.1,0,24,20,0,5
0,4,68,29,34,0,66,0,15.2,0,20.2,0,23,20,0.4,3
7,7,64,21,5.5,0,76.5,0,18,17.3,0,19.6,0,22,20,1
14,25,21,39,29,0,66.8,0,4.2,17.6,0,18.8,0,24,20,3
7,0,64,29,7,0,82,0,11,17.3,0,21.2,0,16.9,13.7,3
3,10,38,48,7,0,89,0,4,14.2,0,17.3,0,19.8,15.4,3
18,7,61,14,2,0,94.4,0,3.6,15.2,0,18.4,0,20,15.8,3
43,18,25,14,10.9,0,86.4,0,2.7,15.2,0,18.1,0,22.3,15.5,5
32,18,32,18,16.1,0,79.4,0,4.5,17.9,0,19.3,0,20,16.1,4
7,36,29,29,7.1,0,84.1,0,8.8,0,18.9,0,21,15.6,1.1,1
4,25,39,32,3.3,0,92.1,0,4.6,14,0,18.6,0,26,18.8,3
14,18,43,25,2.8,0,70.5,26.7,0,0,22.3,0,26,13.8,0.5,1
57,14,14,14,32.4,0,67.6,0,17.8,0,19.7,0,25,18.8,0,7
21,14,46,18,8.7,0,88,0,3.3,15.8,0,19.8,0,23.4,21,3
14,11,57,18,13.1,0,85,0,1.9,18.1,0,18.4,0,24,22.9,6
11,4,57,29,17.2,0,76.8,0,6,16,0,20.4,0,23,16,3
25,25,39,11,12.3,0,83.5,0,4.2,15.4,0,18.4,0,24,20.2,3
36,18,25,21,3.6,0,92.7,1.4,2.3,0,17.2,0,24.5,22,0,3
32,11,32,25,3.5,0,84.5,0,12,16,0,18.3,0,24,22.6,3
14,7,64,14,11.8,0,86,0,2.2,15.1,0,17.8,0,24.5,21.2,3
0,0,0,21.1,76.4,0,2.5,14.9,0,17.8,0,24,20.2,0,0,3
29,32,18,21,5.5,0,92.7,0,1.8,15.9,0,17.2,0,28,20.4,5
25,7,43,25,15.5,0,79.9,0,4.6,0,17.8,0,24.6,21.2,0,3
11,7,61,21,7.4,0,88,0,4.6,14.8,0,17.7,0,22,15.8,3
11,21,57,11,28.6,0,69,0,2.4,16.2,0,19.2,0,21.7,16.2,6
7,0,75,18,4.8,0,91,0,4.2,16,0,21.2,0,21,18.1,3
14,14,46,25,4.5,0,94.4,0,0.1,17.3,0,18.2,0,23.6,14,3
7,18,57,18,22.4,0,73.7,0,3.9,16.8,0,17.4,0,20,18.5,6
25,7,32,36,18,0,80.1,0,1.9,14.9,0,20.2,0,23,19.2,8
32,32,11,25,13,0,84.7,0,2.3,13.1,0,20.3,0,23,18,9
25,18,32,25,2.6,0,96.5,0,0.9,0,18.9,0,25,21.2,0.3,3
25,25,18,32,2.9,0,95.7,0,1.4,0,17.2,0,26.1,24.4,0,3
4,7,64,25,10.1,0,88.4,0,1.5,18.4,0,21.4,0,26.1,19.7,3
38,24,17,21,3.6,0,93.3,0,3.1,0,19.1,0,26.3,22.1,1.2,3
18,11,43,29,5.5,0,91.6,0,2.9,15.4,0,19.3,0,26.1,22.6,3
0,11,57,32,9.3,0,88.9,0,1.8,14.8,0,19.6,0,22,19.8,3
21,21,18,39,16.2,0,81.8,0,0.2,0,17.7,0,26,22.8,0.8,3
4,11,64,21,20.2,0,73.9,0,5.9,18.1,0,23.2,0,25,22.6,3
0,11,68,21,33.9,0,62.4,0,3.7,13.6,0,18.8,0,26,22,3
0,0,0,5.7,90.8,0,3.5,21,0,23.2,0,26,23,0.5,0,3
4,7,71,18,6.7,0,90.8,0,2.5,14.9,0,18.9,0,17.5,14.2,3
14,18,25,43,3.8,0,93.2,0,3,14.9,0,19.2,0,18.6,15.1,3
14,21,18,46,6,0,85.2,0,8.8,16.2,0,19.2,0,18.8,16,3
4,7,86,4,26.9,0,69.7,0,3.4,16,0,21.3,0,20.7,14.2,3
7,11,57,25,95.4,0,4.6,0,18.7,0,0,21.1,14.3,0.3,0,3
4,7,54,36,68.4,0,31.6,0,15.9,0,0,21.2,18.8,0.3,0,5
7,7,54,32,2.3,0,91.7,0,6,15.6,0,19.4,0,24,20.6,3
43,32,14,11,3,0,92.5,0,4.5,14.3,0,19.3,0,26,22,3
4,7,82,7,14.1,0,71.2,0.7,13.9,19.4,0,21.7,0,26.5,22.2,3
