durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
0,10.7,75.1,14.2,0,15.3,64.7,0,20,0,20.9,17.9,0,24,20,3
0,7.6,77.1,15.3,0,10.3,72.3,0,17.4,0,21.9,18.9,0,22,19.5,3
7.1,17.8,39.4,35.7,5.5,72,22.5,0,0,0,0,21.7,0,23.2,15.1,5
7.1,17.8,43,32.1,23,56,21,0,0,0,0,21.9,0,0,22,5
14.8,25.9,29.7,29.6,0,13.7,82.5,0,3.8,0,0,21.6,0,26.6,17.6,5
0,28.6,35.7,35.7,4.4,73.7,21.9,0,0,0,0,23.3,0,28,24.3,5
0,3.5,93,3.5,21.4,49.9,28.7,0,0,17.4,24.1,22.5,0,24.4,23,1
7,18,29,46,21,52.7,26.3,0,0,17.9,0,21.8,0,24.9,20.1,1
3.6,14.3,46.4,35.7,10.2,39.6,50.2,0,0,16.9,0,22.6,0,21,20,1
3.6,2.5,39.3,32.1,5.3,38,56.7,0,0,18.7,0,24.7,0,27,19.5,1
0,10.7,64.3,25,3.4,26.2,63.6,0,6.8,0,0,23.2,0,28.2,26,1
7.1,28.6,25,39.3,1.4,9.1,77,0,12.5,0,0,22,0,27.2,21.3,3
0,11,57,32,4,20,72,0,4,0,0,22.9,0,30,23.9,3
0,27.2,57.7,15.1,0,18,72,0,10,0,0,22.3,0,28.9,25,3
10.7,14.3,46.4,28.6,6.2,19.4,58.5,0,15.9,0,0,17.3,0,25.8,20.7,3
0,3.7,77.8,18.5,2.6,17.5,73.4,0,6.5,0,0,22.1,0,19,17.2,3
3.6,7.2,78.5,10.7,3,3,76,0,18,0,23.4,20,0,24.6,18.4,3
0,3,65,32,0,0,68,0,32,0,21.1,18,0,18.5,14,5
3,6,82,9,0,9,76,0,15,0,20.8,18.4,0,21.7,19.8,5
0,3,82,15,0,0,80,0,20,0,22.3,20.9,0,27.2,19,5
6.4,6.4,58.2,29,0,11.1,68.9,0,20,0,0,20.7,0,27,15.5,3
9,18,52,21,0,9,72,3,16,0,21.6,20.4,0,26.1,19,5
2,8,65,25,2,21,64,0,13,0,0,25.7,0,29.9,21.7,1
3.6,7.1,57.2,32.1,5.1,28.6,51.6,0,14.7,0,0,21.2,0,31,25.7,1
